date,ingredient,sales
2023-01-01,Basil,43
2023-01-01,Beef,145
2023-01-01,Bell Pepper,86
2023-01-01,Bread,114
2023-01-01,Broccoli,77
2023-01-01,Butter,82
2023-01-01,Cabbage,55
2023-01-01,Carrot,104
2023-01-01,Cheese,126
2023-01-01,Chicken,205
2023-01-01,Cilantro,42
2023-01-01,Eggs,149
2023-01-01,Fish,124
2023-01-01,Flour,81
2023-01-01,Garlic,56
2023-01-01,Ginger,41
2023-01-01,Lemon,49
2023-01-01,Lettuce,90
2023-01-01,Lime,46
2023-01-01,Milk,134
2023-01-01,Mushroom,66
2023-01-01,Oil,88
2023-01-01,Onion,116
2023-01-01,Pasta,112
2023-01-01,Potato,103
2023-01-01,Rice,101
2023-01-01,Salt,49
2023-01-01,Spinach,60
2023-01-01,Sugar,68
2023-01-01,Tomato,155
2023-01-02,Basil,59
2023-01-02,Beef,184
2023-01-02,Bell Pepper,107
2023-01-02,Bread,116
2023-01-02,Broccoli,86
2023-01-02,Butter,103
2023-01-02,Cabbage,62
2023-01-02,Carrot,109
2023-01-02,Cheese,143
2023-01-02,Chicken,207
2023-01-02,Cilantro,55
2023-01-02,Eggs,158
2023-01-02,Fish,137
2023-01-02,Flour,91
2023-01-02,Garlic,61
2023-01-02,Ginger,42
2023-01-02,Lemon,66
2023-01-02,Lettuce,81
2023-01-02,Lime,64
2023-01-02,Milk,153
2023-01-02,Mushroom,71
2023-01-02,Oil,114
2023-01-02,Onion,152
2023-01-02,Pasta,113
2023-01-02,Potato,121
2023-01-02,Rice,108
2023-01-02,Salt,73
2023-01-02,Spinach,79
2023-01-02,Sugar,75
2023-01-02,Tomato,151
2023-01-03,Basil,64
2023-01-03,Beef,229
2023-01-03,Bell Pepper,119
2023-01-03,Bread,135
2023-01-03,Broccoli,91
2023-01-03,Butter,112
2023-01-03,Cabbage,83
2023-01-03,Carrot,110
2023-01-03,Cheese,163
2023-01-03,Chicken,221
2023-01-03,Cilantro,76
2023-01-03,Eggs,194
2023-01-03,Fish,132
2023-01-03,Flour,109
2023-01-03,Garlic,71
2023-01-03,Ginger,65
2023-01-03,Lemon,73
2023-01-03,Lettuce,92
2023-01-03,Lime,74
2023-01-03,Milk,147
2023-01-03,Mushroom,101
2023-01-03,Oil,109
2023-01-03,Onion,139
2023-01-03,Pasta,119
2023-01-03,Potato,148
2023-01-03,Rice,117
2023-01-03,Salt,78
2023-01-03,Spinach,89
2023-01-03,Sugar,102
2023-01-03,Tomato,164
2023-01-04,Basil,71
2023-01-04,Beef,190
2023-01-04,Bell Pepper,111
2023-01-04,Bread,121
